country,language,queries,clicks,impressions
kaz,en,2,0,2
kaz,neutral,1,0,1
kaz,ru,19,0,28
kaz,uz,24,1,114
kgz,neutral,1,0,1
kgz,ru,8,1,23
kgz,uz,30,2,153
rus,en,7,2,19
rus,neutral,18,2,36
rus,ru,256,1,1250
rus,uz,59,77,2545
tjk,neutral,2,0,4
tjk,ru,3,0,3
tjk,uz,21,4,171
uzb,en,21,3,365
uzb,neutral,78,16,919
uzb,ru,328,7,951
uzb,uz,134,409,55669
