query,segment,topic,topic_group,language,intent,relevant,first_seen,days_since_first_seen,days_with_impressions,last7_impressions,prev7_impressions,last14_impressions,prev14_impressions,impressions_change_14_pct,last28_impressions,impressions_90d,last7_clicks,last14_clicks,last28_clicks,clicks_90d,ctr_last28,last14_position,prev14_position,position_change_14,position_bucket_14d,striking_distance,visible_no_clicks,emerging_score,top_page_28d
chatgpt tarjimon,new_14d,chatgpt_translate,chatgpt_product,uz,informational,True,2026-09-02,12,6,3,14,17,0,,17,17,0,1,1,1,0.0588,7.76,,,4-10,False,False,3.01,https://gptbot.uz/uz/gpt-uzbek-tilida/
джіпічат,new_14d,other,other,ru,unknown,False,2026-09-02,12,5,8,2,10,0,,10,10,0,0,0,0,0.0,8.5,,,4-10,False,False,0.31,https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/
chatgpt kirish,new_28d,chatgpt_login,chatgpt_product,uz,navigational,True,2026-08-18,27,27,12609,10700,23309,1332,1649.9,24641,24641,39,78,80,80,0.0032,7.28,8.86,-1.58,4-10,True,False,21.84,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/
chatgpt uzbekcha,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-23,22,23,314,506,820,164,400.0,984,984,2,5,6,6,0.0061,6.08,6.99,-0.91,4-10,True,False,17.49,https://gptbot.uz/uz/gpt-uzbek-tilida/
chatgpt uzbekcha bepul,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-24,21,22,524,265,789,178,343.3,967,967,5,7,9,9,0.0093,5.13,6.18,-1.05,4-10,True,False,17.39,https://gptbot.uz/uz/gpt-uzbek-tilida/
jaji piti online,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-27,18,15,414,255,669,1,66800.0,670,670,3,4,4,4,0.006,6.97,17.0,-10.03,4-10,True,False,16.96,https://gptbot.uz/ru/gpt-chat/
chatgpt bepul kirish,new_28d,chatgpt_login,chatgpt_product,uz,navigational,True,2026-08-24,21,19,1290,629,1919,287,568.6,2206,2206,8,9,11,11,0.005,8.29,9.33,-1.04,4-10,True,False,16.42,https://gptbot.uz/uz/gpt-uzbek-tilida/
savollarga javoblar beruvchi bot,new_28d,chatbot_dev,services_bots,uz,commercial_investigation,True,2026-08-29,16,14,11,13,24,2,1100.0,26,26,0,0,0,0,0.0,8.38,8.0,0.38,4-10,True,True,13.98,https://gptbot.uz/uz/gpt-bot-biznes-uchun/
chatgpt ozbekcha,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-18,27,25,119,89,208,49,324.5,257,257,0,1,2,2,0.0078,5.83,6.59,-0.76,4-10,True,False,13.92,https://gptbot.uz/ru/gpt-chat/
chachipiti oʻzbek tilida,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-18,27,22,72,64,136,25,444.0,161,161,0,0,0,0,0.0,8.32,8.16,0.16,4-10,True,True,12.82,https://gptbot.uz/uz/gpt-uzbek-tilida/
chat gpt uzbekcha,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-23,22,23,60,68,128,52,146.2,180,180,0,4,5,5,0.0278,5.68,7.54,-1.86,4-10,True,False,12.66,https://gptbot.uz/uz/gpt-uzbek-tilida/
процент рекламы телеграм от общего рынка рекламы узбекистан,new_28d,telegram_ads,services_marketing,ru,commercial,True,2026-08-30,15,15,14,10,24,2,1100.0,26,26,0,0,0,0,0.0,8.75,9.5,-0.75,4-10,True,True,12.58,https://gptbot.uz/ru/telegram-ads-uzbekistan/
chatgpt uzbekcha скачать,new_28d,chatgpt_download,chatgpt_product,uz,navigational,True,2026-08-26,19,16,296,24,320,7,4471.4,327,327,3,3,3,3,0.0092,8.69,5.86,2.83,4-10,True,False,12.53,https://gptbot.uz/ru/gpt-chat/
chatgpt oʻzbekcha,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-25,20,17,51,57,108,10,980.0,118,118,1,2,2,2,0.0169,6.94,7.7,-0.76,4-10,True,False,12.22,https://gptbot.uz/uz/gpt-uzbek-tilida/
чат гпт узбекча,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-20,25,26,49,59,108,68,58.8,176,176,0,1,3,3,0.017,5.68,5.5,0.18,4-10,True,False,12.22,https://gptbot.uz/uz/gpt-uzbek-tilida/
chatgpt 4 uzbek tilida,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-20,25,17,13,91,104,8,1200.0,112,112,0,0,0,0,0.0,9.07,9.75,-0.68,4-10,True,True,12.13,https://gptbot.uz/uz/gpt-uzbek-tilida/
chatgpt узбекча,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-23,22,14,75,23,98,1,9700.0,99,99,0,0,0,0,0.0,6.56,10.0,-3.44,4-10,True,True,11.97,https://gptbot.uz/ru/gpt-chat/
chatgpt uzbek,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-23,22,22,34,54,88,14,528.6,102,102,0,0,0,0,0.0,6.68,6.07,0.61,4-10,True,True,11.7,https://gptbot.uz/uz/gpt-uzbek-tilida/
onlayn chatgpt,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-24,21,17,51,20,71,16,343.8,87,87,0,0,0,0,0.0,6.44,4.69,1.75,4-10,True,True,11.14,https://gptbot.uz/ru/gpt-chat/
chatgpt online kirish,new_28d,chatgpt_login,chatgpt_product,uz,navigational,True,2026-08-24,21,21,58,64,122,14,771.4,136,136,0,0,0,0,0.0,5.22,6.14,-0.92,4-10,True,True,10.45,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/
chatgpt skachat uzbek tilida,new_28d,chatgpt_download,chatgpt_product,uz,navigational,True,2026-08-24,21,21,65,52,117,20,485.0,137,137,1,1,2,2,0.0146,6.96,7.85,-0.89,4-10,True,False,10.36,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/
chatgpt kirish login,new_28d,chatgpt_login,chatgpt_product,uz,navigational,True,2026-08-27,18,16,43,70,113,2,5550.0,115,115,0,3,3,3,0.0261,6.18,7.5,-1.32,4-10,True,False,10.28,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/
chatgpt yuklash,new_28d,chatgpt_download,chatgpt_product,uz,navigational,True,2026-08-29,16,17,53,54,107,10,970.0,117,117,1,1,1,1,0.0085,7.3,8.5,-1.2,4-10,True,False,10.17,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/
chatgpt uzbek tilida skachat,new_28d,chatgpt_download,chatgpt_product,uz,navigational,True,2026-08-26,19,18,45,47,92,8,1050.0,100,100,0,0,0,0,0.0,7.68,7.5,0.18,4-10,True,True,9.84,https://gptbot.uz/uz/gpt-uzbek-tilida/
chat gpt 4 uzbekistan,new_28d,chatgpt_online,chatgpt_product,en,transactional,True,2026-08-20,25,24,23,14,37,48,-22.9,85,85,0,0,1,1,0.0118,7.22,6.02,1.2,4-10,True,False,9.48,https://gptbot.uz/uz/gpt-uzbek-tilida/
chat chipiti online,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-29,16,14,24,10,34,3,1033.3,37,37,0,0,0,0,0.0,6.06,9.0,-2.94,4-10,True,True,9.26,https://gptbot.uz/ru/gpt-chat/
chatgpt скачать uzbek tilida,new_28d,chatgpt_download,chatgpt_product,uz,navigational,True,2026-08-28,17,17,43,22,65,10,550.0,75,75,0,1,1,1,0.0133,7.05,6.5,0.55,4-10,True,False,9.1,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/
chatgpt yuklash apk,new_28d,chatgpt_download,chatgpt_product,uz,navigational,True,2026-08-29,16,16,25,30,55,10,450.0,65,65,1,2,3,3,0.0462,6.96,7.6,-0.64,4-10,True,False,8.74,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/
chatgpt ilovasi,new_28d,chatgpt_download,chatgpt_product,uz,navigational,True,2026-08-29,16,15,35,7,42,4,950.0,46,46,1,1,1,1,0.0217,6.48,8.0,-1.52,4-10,True,False,8.17,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/
чачи пити узбек тилида,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-29,16,12,11,11,22,4,450.0,26,26,0,0,0,0,0.0,7.73,7.75,-0.02,4-10,True,True,8.17,https://gptbot.uz/uz/gpt-uzbek-tilida/
chatgpt узбек тилида,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-20,25,14,5,16,21,14,50.0,35,35,0,0,0,0,0.0,7.0,7.86,-0.86,4-10,True,True,8.05,https://gptbot.uz/uz/gpt-uzbek-tilida/
чат джипити узбекча,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-27,18,12,16,3,19,19,0.0,38,38,4,4,4,4,0.1053,5.32,7.32,-2.0,4-10,False,False,7.81,https://gptbot.uz/ru/gpt-chat/
chaji piti uzbek tilida,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-30,15,9,7,8,15,1,1400.0,16,16,0,0,0,0,0.0,8.27,8.0,0.27,4-10,False,False,7.22,https://gptbot.uz/uz/gpt-uzbek-tilida/
uzbekcha chatgpt,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-28,17,9,7,4,11,2,450.0,13,13,0,0,0,0,0.0,6.45,7.5,-1.05,4-10,False,False,6.48,https://gptbot.uz/uz/gpt-uzbek-tilida/
чат gpt,new_28d,chatgpt_online,chatgpt_product,ru,transactional,True,2026-08-27,18,11,8,3,11,12,-8.3,23,23,0,0,0,0,0.0,5.0,6.0,-1.0,4-10,False,True,6.48,https://gptbot.uz/ru/gpt-chat/
telegram bot buyurtma o'zbekiston,new_28d,telegram_bots,services_bots,uz,commercial,True,2026-08-19,26,16,3,4,7,12,-41.7,19,19,0,0,0,0,0.0,12.57,8.25,4.32,11-20,False,False,6.32,https://gptbot.uz/uz/telegram-bot-biznes-uchun/
чат gpt узбек тилида,new_28d,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-21,24,15,2,8,10,21,-52.4,31,31,0,0,0,0,0.0,6.0,6.43,-0.43,4-10,False,True,6.25,https://gptbot.uz/uz/gpt-uzbek-tilida/
chatgpt uzbekcha tarjimon,new_28d,chatgpt_translate,chatgpt_product,uz,informational,True,2026-08-28,17,9,0,38,38,19,100.0,57,57,0,1,1,1,0.0175,4.37,5.47,-1.1,4-10,True,False,3.82,https://gptbot.uz/uz/gpt-uzbek-tilida/
chatgpt o'zbekcha tarjimon,new_28d,chatgpt_translate,chatgpt_product,uz,informational,True,2026-08-29,16,8,0,14,14,9,55.6,23,23,0,0,0,0,0.0,9.21,9.89,-0.68,4-10,False,True,2.82,https://gptbot.uz/uz/gpt-uzbek-tilida/
как оплатить чат gpt в узбекистане,new_28d,chatgpt_payment,chatgpt_product,ru,informational,True,2026-08-20,25,13,2,6,8,14,-42.9,22,22,0,3,5,5,0.2273,1.12,1.29,-0.17,1-3,False,False,2.39,https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/
робот для записи на прием,new_28d,chatbot_dev,services_bots,ru,commercial_investigation,True,2026-08-28,17,6,0,6,6,12,-50.0,18,18,0,0,0,0,0.0,25.17,26.33,-1.16,21-50,False,False,1.27,https://gptbot.uz/ru/ai-bot-dlya-kliniki/
что такое лид в коммерческом предложении,new_28d,leads_automation,services_bots,ru,informational,True,2026-08-20,25,16,1,6,7,12,-41.7,19,19,0,0,0,0,0.0,21.71,21.67,0.04,21-50,False,False,1.22,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
что такое лиды,new_28d,leads_automation,services_bots,ru,informational,True,2026-08-20,25,10,1,5,6,6,0.0,12,12,0,0,0,0,0.0,22.17,22.17,0.0,21-50,False,False,1.14,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
чат бот на заказ ташкент,new_28d,chatbot_dev,services_bots,ru,commercial,True,2026-08-22,23,12,13,2,15,10,50.0,25,25,0,0,0,0,0.0,47.4,42.3,5.1,21-50,False,True,0.6,https://gptbot.uz/ru/luchshie-razrabotchiki-chat-botov-tashkent/
лиды что это,new_28d,leads_automation,services_bots,ru,informational,True,2026-08-20,25,8,1,10,11,2,450.0,13,13,0,0,0,0,0.0,35.09,35.5,-0.41,21-50,False,False,0.49,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
seo в ташкенте,new_28d,seo,services_web,ru,commercial,True,2026-08-21,24,21,7,7,14,8,75.0,22,22,0,0,0,0,0.0,46.64,43.88,2.76,21-50,False,True,0.47,https://gptbot.uz/ru/seo-prodvizhenie-saytov-tashkent/
чати пити узбекча,new_28d,other,other,uz,unknown,False,2026-08-22,23,18,14,16,30,12,150.0,42,42,1,1,1,1,0.0238,6.87,7.67,-0.8,4-10,True,False,0.45,https://gptbot.uz/uz/gpt-uzbek-tilida/
виды лидов,new_28d,leads_automation,services_bots,ru,commercial_investigation,True,2026-08-20,25,11,2,7,9,5,80.0,14,14,0,0,0,0,0.0,34.33,30.4,3.93,21-50,False,False,0.45,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
лиды маркетинг,new_28d,leads_automation,services_bots,ru,commercial_investigation,True,2026-08-24,21,12,2,6,8,7,14.3,15,15,0,0,0,0,0.0,34.25,29.86,4.39,21-50,False,False,0.43,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
ватсап бот для бизнеса,new_28d,whatsapp_bots,services_bots,ru,commercial_investigation,True,2026-08-22,23,15,1,11,12,11,9.1,23,23,0,0,0,0,0.0,37.33,35.91,1.42,21-50,False,True,0.39,https://gptbot.uz/ru/whatsapp-bot-dlya-biznesa/
что такое лиды и зачем нужны,new_28d,leads_automation,services_bots,ru,informational,True,2026-08-24,21,11,2,4,6,6,0.0,12,12,0,0,0,0,0.0,38.0,35.0,3.0,21-50,False,False,0.38,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
продвижение сайта seodrum,new_28d,seo,services_web,ru,commercial_investigation,True,2026-08-21,24,16,0,6,6,10,-40.0,16,16,0,0,0,0,0.0,44.67,43.3,1.37,21-50,False,False,0.34,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
jtp чат,new_28d,other,other,ru,unknown,False,2026-08-25,20,9,4,5,9,3,200.0,12,12,0,0,0,0,0.0,6.11,6.0,0.11,4-10,False,False,0.3,https://gptbot.uz/ru/gpt-chat/
раскрутка по лидам,new_28d,leads_automation,services_bots,ru,commercial_investigation,True,2026-08-23,22,3,0,3,3,7,-57.1,10,10,0,0,0,0,0.0,33.67,30.14,3.53,21-50,False,False,0.27,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
uzbek chat,new_28d,other,other,uz,unknown,False,2026-08-25,20,5,4,2,6,5,20.0,11,11,0,0,0,0,0.0,7.33,6.4,0.93,4-10,False,False,0.25,https://gptbot.uz/ru/gpt-chat/
контекстная реклама ташкент,new_28d,digital_marketing,services_marketing,ru,commercial,True,2026-08-21,24,3,3,0,3,7,-57.1,10,10,0,0,0,0,0.0,47.33,56.86,-9.53,21-50,False,False,0.24,https://gptbot.uz/ru/kontekstnaya-reklama-tashkent/
продвижения сайтов,new_28d,seo,services_web,ru,commercial_investigation,True,2026-08-24,21,6,0,3,3,9,-66.7,12,12,0,0,0,0,0.0,62.33,65.22,-2.89,51+,False,False,0.24,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
чат опт,new_28d,other,other,ru,unknown,False,2026-08-27,18,6,0,4,4,17,-76.5,21,21,0,0,0,0,0.0,5.75,6.12,-0.37,4-10,False,True,0.21,https://gptbot.uz/ru/gpt-chat/
продвижение сайта по лидам что это,new_28d,leads_automation,services_bots,ru,informational,True,2026-08-23,22,4,0,2,2,8,-75.0,10,10,0,0,0,0,0.0,87.5,38.62,48.88,51+,False,False,0.21,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
