query,segment,topic,topic_group,language,intent,relevant,first_seen,days_since_first_seen,days_with_impressions,last7_impressions,prev7_impressions,last14_impressions,prev14_impressions,impressions_change_14_pct,last28_impressions,impressions_90d,last7_clicks,last14_clicks,last28_clicks,clicks_90d,ctr_last28,last14_position,prev14_position,position_change_14,position_bucket_14d,striking_distance,visible_no_clicks,emerging_score,top_page_28d
чат жпт узбекча,visible_no_clicks,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-06,39,27,14,12,26,25,4.0,51,75,0,0,0,1,0.0,6.77,6.6,0.17,4-10,True,True,8.59,https://gptbot.uz/uz/gpt-uzbek-tilida/
instagram direct nima,visible_no_clicks,instagram_bots,services_bots,uz,informational,True,2026-08-05,40,21,3,3,6,23,-73.9,29,40,0,0,0,0,0.0,8.33,6.65,1.68,4-10,False,True,8.45,https://gptbot.uz/uz/blog/instagram-direct-ai-bot-qanday-ishlaydi/
chat gpt uzbek,visible_no_clicks,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-07,38,27,5,11,16,18,-11.1,34,42,0,0,0,0,0.0,4.88,5.22,-0.34,4-10,False,True,7.38,https://gptbot.uz/uz/gpt-uzbek-tilida/
chat gpt yuklab olish,visible_no_clicks,chatgpt_download,chatgpt_product,uz,navigational,True,2026-07-31,45,19,15,6,21,4,425.0,25,34,0,0,0,0,0.0,6.71,8.75,-2.04,4-10,True,True,6.71,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/
chpt yuklab olish,visible_no_clicks,chatgpt_download,chatgpt_product,uz,navigational,True,2026-08-13,32,26,10,11,21,12,75.0,33,35,0,0,0,0,0.0,6.67,8.33,-1.66,4-10,True,True,6.71,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/
бот для инстаграм директ,visible_no_clicks,instagram_bots,services_bots,ru,commercial_investigation,True,2026-06-17,89,43,14,16,30,24,25.0,54,80,0,0,0,0,0.0,18.73,22.79,-4.06,11-20,False,True,5.97,https://gptbot.uz/ru/instagram-direct-bot/
o'zbekistonda biznes uchun ai bot,visible_no_clicks,chatbot_dev,services_bots,uz,commercial,True,2026-08-13,32,20,11,4,15,25,-40.0,40,44,0,0,0,0,0.0,19.8,16.72,3.08,11-20,False,True,4.82,https://gptbot.uz/uz/
chatgpt uzbek tilida online ko rish,visible_no_clicks,chatgpt_online,chatgpt_product,uz,transactional,True,2026-08-06,39,23,1,4,5,17,-70.6,22,34,0,0,0,0,0.0,6.4,7.65,-1.25,4-10,False,True,4.67,https://gptbot.uz/uz/gpt-uzbek-tilida/
лид это,visible_no_clicks,leads_automation,services_bots,ru,informational,True,2026-08-13,32,26,12,29,41,58,-29.3,99,109,0,0,0,0,0.0,25.95,23.38,2.57,21-50,False,True,2.19,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
лид,visible_no_clicks,leads_automation,services_bots,ru,commercial_investigation,True,2026-08-16,29,24,4,26,30,33,-9.1,63,68,0,0,0,0,0.0,29.67,28.03,1.64,21-50,False,True,2.01,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
что такое лид,visible_no_clicks,leads_automation,services_bots,ru,informational,True,2026-08-04,41,20,3,12,15,12,25.0,27,32,0,0,0,0,0.0,29.27,28.33,0.94,21-50,False,True,1.63,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
лид это в маркетинге,visible_no_clicks,leads_automation,services_bots,ru,informational,True,2026-08-05,40,19,2,7,9,14,-35.7,23,30,0,0,0,0,0.0,26.56,26.71,-0.15,21-50,False,True,1.35,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
лид это в рекламе,visible_no_clicks,leads_automation,services_bots,ru,informational,True,2026-08-07,38,21,2,7,9,20,-55.0,29,35,0,0,0,0,0.0,24.44,23.6,0.84,21-50,False,True,1.35,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
лид что такое,visible_no_clicks,leads_automation,services_bots,ru,informational,True,2026-08-16,29,15,1,7,8,12,-33.3,20,22,0,0,0,0,0.0,29.75,27.58,2.17,21-50,False,True,1.29,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
seo продвижение,visible_no_clicks,seo,services_web,ru,commercial_investigation,True,2026-08-03,42,35,3,101,104,124,-16.1,228,263,0,0,0,0,0.0,57.85,62.32,-4.47,51+,False,True,0.81,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
продвижение сайтов,visible_no_clicks,seo,services_web,ru,commercial_investigation,True,2026-08-03,42,27,1,34,35,68,-48.5,103,121,0,0,0,0,0.0,54.77,51.81,2.96,51+,False,True,0.62,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
seo продвижение сайтов,visible_no_clicks,seo,services_web,ru,commercial_investigation,True,2026-08-04,41,34,4,29,33,76,-56.6,109,156,0,0,0,0,0.0,55.52,54.21,1.31,51+,False,True,0.61,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
разработка чат ботов ташкент,visible_no_clicks,chatbot_dev,services_bots,ru,commercial,True,2026-08-13,32,16,10,3,13,10,30.0,23,28,0,0,0,0,0.0,44.08,41.3,2.78,21-50,False,True,0.57,https://gptbot.uz/ru/luchshie-razrabotchiki-chat-botov-tashkent/
сео продвижение,visible_no_clicks,seo,services_web,ru,commercial_investigation,True,2026-08-04,41,20,1,21,22,27,-18.5,49,60,0,0,0,0,0.0,53.73,63.41,-9.68,51+,False,True,0.54,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
продвижение seo,visible_no_clicks,seo,services_web,ru,commercial_investigation,True,2026-08-03,42,37,5,15,20,29,-31.0,49,72,0,0,0,0,0.0,64.25,65.31,-1.06,51+,False,True,0.53,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
автоматизация приема заявок,visible_no_clicks,leads_automation,services_bots,ru,commercial_investigation,True,2026-06-30,76,18,3,10,13,14,-7.1,27,30,0,0,0,0,0.0,36.77,50.93,-14.16,21-50,False,True,0.52,https://gptbot.uz/ru/avtomatizatsiya-zayavok/
лиды это,visible_no_clicks,leads_automation,services_bots,ru,informational,True,2026-08-08,37,17,1,12,13,11,18.2,24,25,0,0,0,0,0.0,33.77,27.64,6.13,21-50,False,True,0.52,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
продвижение сайта seo,visible_no_clicks,seo,services_web,ru,commercial_investigation,True,2026-08-04,41,34,3,15,18,31,-41.9,49,68,0,0,0,0,0.0,58.94,58.55,0.39,51+,False,True,0.51,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
что такое seo продвижение,visible_no_clicks,seo,services_web,ru,informational,True,2026-08-15,30,21,0,18,18,41,-56.1,59,66,0,0,0,0,0.0,76.89,67.54,9.35,51+,False,True,0.51,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
что такое сео продвижение,visible_no_clicks,seo,services_web,ru,informational,True,2026-08-06,39,20,0,18,18,43,-58.1,61,66,0,0,0,0,0.0,72.11,61.88,10.23,51+,False,True,0.51,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
seo ташкент,visible_no_clicks,seo,services_web,ru,commercial,True,2026-08-04,41,23,10,7,17,13,30.8,30,32,0,0,0,0,0.0,34.71,42.92,-8.21,21-50,False,True,0.5,https://gptbot.uz/ru/seo-prodvizhenie-saytov-tashkent/
seo продвижение это,visible_no_clicks,seo,services_web,ru,informational,True,2026-08-14,31,19,0,13,13,31,-58.1,44,51,0,0,0,0,0.0,58.54,63.74,-5.2,51+,False,True,0.46,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
как работает seo продвижение сайтов,visible_no_clicks,seo,services_web,ru,informational,True,2026-08-14,31,24,0,13,13,18,-27.8,31,35,0,0,0,0,0.0,68.54,70.33,-1.79,51+,False,True,0.46,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
сео продвижение это,visible_no_clicks,seo,services_web,ru,informational,True,2026-08-16,29,17,0,12,12,17,-29.4,29,35,0,0,0,0,0.0,64.42,67.35,-2.93,51+,False,True,0.45,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
продвижение сайтов seo,visible_no_clicks,seo,services_web,ru,commercial_investigation,True,2026-08-04,41,36,2,8,10,14,-28.6,24,42,0,0,0,0,0.0,65.6,60.64,4.96,51+,False,True,0.42,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
кто такой лид,visible_no_clicks,leads_automation,services_bots,ru,informational,True,2026-08-17,28,14,1,6,7,15,-53.3,22,26,0,0,0,0,0.0,30.29,29.73,0.56,21-50,False,True,0.41,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/
как работает сео продвижение,visible_no_clicks,seo,services_web,ru,informational,True,2026-08-15,30,15,0,9,9,11,-18.2,20,22,0,0,0,0,0.0,74.33,80.36,-6.03,51+,False,True,0.4,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
