query,last7_clicks,last7_impressions,last7_ctr,last7_position,prev7_clicks,prev7_impressions,prev7_ctr,prev7_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change,position_direction,status,last14_clicks,last14_impressions,last14_ctr,last14_position,prev14_clicks,prev14_impressions,prev14_ctr,prev14_position,w14_clicks_change,w14_clicks_change_pct,w14_impressions_change,w14_impressions_change_pct,w14_ctr_change,w14_position_change,w14_position_direction,w14_status,topic,language,is_brand,last7_period,prev7_period
общение с искусственным интеллектом,0.0,0.0,,,0.0,2.0,0.0,34.5,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,34.5,0,1,0.0,44.0,0,,1,100.0,0.0,-9.5,improved,both,ai_general,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
услуги smm,0.0,0.0,,,0.0,2.0,0.0,27.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,27.0,0,0,,,0,,2,,0.0,,n/a,new,smm,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
таргет реклама заказать,0.0,0.0,,,0.0,1.0,0.0,10.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,10.0,0,1,0.0,10.0,0,,0,0.0,0.0,0.0,stable,both,digital_marketing,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
таргетированная реклама заказать,0.0,0.0,,,0.0,1.0,0.0,4.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,4.0,0,2,0.0,8.5,0,,-1,-50.0,0.0,-4.5,improved,both,digital_marketing,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
ташкент,0.0,0.0,,,0.0,1.0,0.0,55.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,55.0,0,0,,,0,,1,,0.0,,n/a,new,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
телеграм адс цена,0.0,0.0,,,0.0,1.0,0.0,5.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,5.0,0,1,0.0,5.0,0,,0,0.0,0.0,0.0,stable,both,telegram_bots,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
термин лид,0.0,0.0,,,0.0,2.0,0.0,26.5,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,26.5,0,0,,,0,,2,,0.0,,n/a,new,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
топ seo продвижение цена,0.0,0.0,,,0.0,1.0,0.0,7.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,7.0,0,0,,,0,,1,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
умный чат для сайта,0.0,0.0,,,0.0,2.0,0.0,43.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,43.0,0,3,0.0,49.67,0,,-1,-33.3,0.0,-6.67,improved,both,webdev,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
услуги digital агентства,0.0,0.0,,,0.0,1.0,0.0,36.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,36.0,0,0,,,0,,1,,0.0,,n/a,new,digital_marketing,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
услуги smm продвижения,0.0,0.0,,,0.0,1.0,0.0,48.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,48.0,0,0,,,0,,1,,0.0,,n/a,new,smm,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
хочу поговорить с искусственным интеллектом,0.0,0.0,,,0.0,1.0,0.0,8.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,8.0,0,2,0.0,7.0,0,,-1,-50.0,0.0,1.0,worsened,both,ai_general,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
услуги интернет маркетинг узбукистан,0.0,0.0,,,0.0,1.0,0.0,48.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,48.0,0,2,0.0,62.0,0,,-1,-50.0,0.0,-14.0,improved,both,digital_marketing,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
услуги продвижения сайта,0.0,0.0,,,0.0,1.0,0.0,29.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,29.0,0,0,,,0,,1,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
услуги смм продвижения,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,1.0,0,0,,,0,,1,,0.0,,n/a,new,smm,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
услуги смм специалиста что входит,0.0,0.0,,,0.0,2.0,0.0,21.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,21.0,0,1,0.0,23.0,0,,1,100.0,0.0,-2.0,improved,both,smm,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
услуги смм что это,0.0,0.0,,,0.0,4.0,0.0,25.0,0.0,,-4.0,-100.0,0.0,,n/a,lost,0,4,0.0,25.0,0,0,,,0,,4,,0.0,,n/a,new,smm,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
услуги специалиста smm,0.0,0.0,,,0.0,2.0,0.0,16.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,16.0,0,0,,,0,,2,,0.0,,n/a,new,smm,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
хостинг для ботов,0.0,0.0,,,0.0,1.0,0.0,78.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,78.0,0,0,,,0,,1,,0.0,,n/a,new,chatbot_dev,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
хостинг для тг бота,0.0,0.0,,,0.0,1.0,0.0,85.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,85.0,0,1,0.0,84.0,0,,0,0.0,0.0,1.0,worsened,both,chatbot_dev,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
стоимость сео продвижения в месяц,0.0,0.0,,,0.0,1.0,0.0,8.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,8.0,0,0,,,0,,1,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
стоимость продвижения сайта,0.0,0.0,,,0.0,1.0,0.0,8.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,8.0,0,0,,,0,,1,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
стоимость маркетинговых услуг,0.0,0.0,,,0.0,1.0,0.0,26.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,26.0,0,0,,,0,,1,,0.0,,n/a,new,digital_marketing,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
стоимость лидов,0.0,0.0,,,0.0,1.0,0.0,34.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,34.0,0,2,0.0,35.0,0,,-1,-50.0,0.0,-1.0,improved,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
сео продвижение это простыми словами,0.0,0.0,,,0.0,1.0,0.0,94.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,94.0,0,1,0.0,70.0,0,,0,0.0,0.0,24.0,worsened,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
сколько платит апгрейд за рекламу,0.0,0.0,,,0.0,3.0,0.0,7.67,0.0,,-3.0,-100.0,0.0,,n/a,lost,0,3,0.0,7.67,0,0,,,0,,3,,0.0,,n/a,new,digital_marketing,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
сколько стоит лиды для салона красоты,0.0,0.0,,,0.0,2.0,0.0,33.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,33.0,0,5,0.0,23.8,0,,-3,-60.0,0.0,9.2,worsened,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
сколько стоит оптимизация сайта,0.0,0.0,,,0.0,1.0,0.0,12.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,12.0,0,0,,,0,,1,,0.0,,n/a,new,webdev,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
сколько стоит разработка сайта,0.0,0.0,,,0.0,1.0,0.0,44.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,44.0,0,0,,,0,,1,,0.0,,n/a,new,webdev,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
сколько стоит сео продвижение,0.0,0.0,,,0.0,1.0,0.0,11.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,11.0,0,0,,,0,,1,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
сколько стоит сео продвижение в месяц,0.0,0.0,,,0.0,1.0,0.0,46.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,46.0,0,0,,,0,,1,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
смм агентство ташкент,0.0,0.0,,,0.0,1.0,0.0,13.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,13.0,0,7,0.0,72.71,0,,-6,-85.7,0.0,-59.71,improved,both,smm,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
смм под ключ,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,1.0,0,3,0.0,5.0,0,,-2,-66.7,0.0,-4.0,improved,both,smm,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
смм продвижение,0.0,0.0,,,0.0,8.0,0.0,12.25,0.0,,-8.0,-100.0,0.0,,n/a,lost,0,8,0.0,12.25,0,8,0.0,10.62,0,,0,0.0,0.0,1.63,worsened,both,smm,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
смм продвижение сайта,0.0,0.0,,,0.0,1.0,0.0,7.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,7.0,0,1,0.0,10.0,0,,0,0.0,0.0,-3.0,improved,both,smm,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
смм продвижение цена,0.0,0.0,,,0.0,5.0,0.0,21.4,0.0,,-5.0,-100.0,0.0,,n/a,lost,0,5,0.0,21.4,0,3,0.0,21.67,0,,2,66.7,0.0,-0.27,stable,both,smm,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
смм специалист услуги,0.0,0.0,,,0.0,1.0,0.0,11.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,11.0,0,0,,,0,,1,,0.0,,n/a,new,smm,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
создание сайтов интернет реклама продвижение сайтов,0.0,0.0,,,0.0,2.0,0.0,22.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,22.0,0,0,,,0,,2,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
средняя цена за лид,0.0,0.0,,,0.0,1.0,0.0,89.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,89.0,0,0,,,0,,1,,0.0,,n/a,new,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
стоимость seo продвижения,0.0,0.0,,,0.0,2.0,0.0,4.5,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,4.5,0,0,,,0,,2,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
стоимость лида в таргетированной рекламе,0.0,0.0,,,0.0,1.0,0.0,50.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,50.0,0,1,0.0,47.0,0,,0,0.0,0.0,3.0,worsened,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
хостинг телеграм бота,0.0,0.0,,,0.0,1.0,0.0,11.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,11.0,0,0,,,0,,1,,0.0,,n/a,new,telegram_bots,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
хочу пообщаться с искусственным интеллектом,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,1.0,0,1,0.0,9.0,0,,0,0.0,0.0,-8.0,improved,both,ai_general,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
оплата chatgpt,0.0,0.0,,,0.0,1.0,0.0,3.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,3.0,0,0,,,0,,1,,0.0,,n/a,new,chatgpt_payment,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что такое seo продвижение сайта,0.0,0.0,,,0.0,1.0,0.0,51.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,51.0,0,6,0.0,63.0,0,,-5,-83.3,0.0,-12.0,improved,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что значит лид в инстаграме в переписке,0.0,0.0,,,0.0,1.0,0.0,10.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,10.0,0,2,0.0,10.0,0,,-1,-50.0,0.0,0.0,stable,both,instagram_bots,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что значит пометка лид в инстаграм,0.0,0.0,,,0.0,1.0,0.0,10.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,10.0,0,0,,,0,,1,,0.0,,n/a,new,instagram_bots,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что значит продвижение сайта,0.0,0.0,,,0.0,4.0,0.0,57.75,0.0,,-4.0,-100.0,0.0,,n/a,lost,0,4,0.0,57.75,0,12,0.0,54.33,0,,-8,-66.7,0.0,3.42,worsened,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что значит сео продвижение,0.0,0.0,,,0.0,4.0,0.0,77.5,0.0,,-4.0,-100.0,0.0,,n/a,lost,0,4,0.0,77.5,0,10,0.0,77.0,0,,-6,-60.0,0.0,0.5,stable,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что означает лид в инстаграме,0.0,0.0,,,0.0,1.0,0.0,10.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,10.0,0,0,,,0,,1,,0.0,,n/a,new,instagram_bots,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что такое lead,0.0,0.0,,,0.0,1.0,0.0,11.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,11.0,0,2,0.0,26.0,0,,-1,-50.0,0.0,-15.0,improved,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что такое seo продвижение,0.0,0.0,,,0.0,18.0,0.0,76.89,0.0,,-18.0,-100.0,0.0,,n/a,lost,0,18,0.0,76.89,0,41,0.0,67.54,0,,-23,-56.1,0.0,9.35,worsened,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что такое seo продвижение простыми словами,0.0,0.0,,,0.0,8.0,0.0,78.12,0.0,,-8.0,-100.0,0.0,,n/a,lost,0,8,0.0,78.12,0,10,0.0,89.1,0,,-2,-20.0,0.0,-10.98,improved,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что такое лид в инстаграм,0.0,0.0,,,0.0,6.0,0.0,9.5,0.0,,-6.0,-100.0,0.0,,n/a,lost,0,6,0.0,9.5,0,0,,,0,,6,,0.0,,n/a,new,instagram_bots,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
цена за лид,0.0,0.0,,,0.0,2.0,0.0,67.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,67.0,0,2,0.0,42.5,0,,0,0.0,0.0,24.5,worsened,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что такое лид в продажах,0.0,0.0,,,0.0,1.0,0.0,11.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,11.0,0,1,0.0,86.0,0,,0,0.0,0.0,-75.0,improved,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что такое лид в продажах простыми словами,0.0,0.0,,,0.0,3.0,0.0,30.0,0.0,,-3.0,-100.0,0.0,,n/a,lost,0,3,0.0,30.0,0,4,0.0,27.5,0,,-1,-25.0,0.0,2.5,worsened,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что такое лиды в инстаграмме,0.0,0.0,,,0.0,5.0,0.0,29.4,0.0,,-5.0,-100.0,0.0,,n/a,lost,0,5,0.0,29.4,0,0,,,0,,5,,0.0,,n/a,new,instagram_bots,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что такое продвижение сайта,0.0,0.0,,,0.0,3.0,0.0,58.67,0.0,,-3.0,-100.0,0.0,,n/a,lost,0,3,0.0,58.67,0,11,0.0,59.64,0,,-8,-72.7,0.0,-0.97,improved,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что такое сео продвижение,0.0,0.0,,,0.0,18.0,0.0,72.11,0.0,,-18.0,-100.0,0.0,,n/a,lost,0,18,0.0,72.11,0,43,0.0,61.88,0,,-25,-58.1,0.0,10.23,worsened,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что такое сео продвижение сайта,0.0,0.0,,,0.0,3.0,0.0,60.67,0.0,,-3.0,-100.0,0.0,,n/a,lost,0,3,0.0,60.67,0,1,0.0,56.0,0,,2,200.0,0.0,4.67,worsened,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что такое смм продвижение сайта,0.0,0.0,,,0.0,3.0,0.0,26.33,0.0,,-3.0,-100.0,0.0,,n/a,lost,0,3,0.0,26.33,0,4,0.0,25.75,0,,-1,-25.0,0.0,0.58,worsened,both,smm,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
яндекс плюс узбекистан цена 2026,0.0,0.0,,,0.0,1.0,0.0,7.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,7.0,0,0,,,0,,1,,0.0,,n/a,new,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что значит лид в инстаграме,0.0,0.0,,,0.0,1.0,0.0,11.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,11.0,0,0,,,0,,1,,0.0,,n/a,new,instagram_bots,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что значит лид,0.0,0.0,,,0.0,2.0,0.0,28.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,28.0,0,1,0.0,33.0,0,,1,100.0,0.0,-5.0,improved,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что значит seo продвижение,0.0,0.0,,,0.0,1.0,0.0,9.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,9.0,0,0,,,0,,1,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
что входит в сео продвижение,0.0,0.0,,,0.0,4.0,0.0,74.75,0.0,,-4.0,-100.0,0.0,,n/a,lost,0,4,0.0,74.75,0,0,,,0,,4,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
цена лида это,0.0,0.0,,,0.0,1.0,0.0,82.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,82.0,0,1,0.0,81.0,0,,0,0.0,0.0,1.0,worsened,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
цены на сео продвижение,0.0,0.0,,,0.0,1.0,0.0,7.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,7.0,0,0,,,0,,1,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чат gpt как расшифровывается,0.0,0.0,,,0.0,1.0,0.0,11.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,11.0,0,0,,,0,,1,,0.0,,n/a,new,chatgpt_online,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чат gpt на русском бесплатно,0.0,0.0,,,0.0,1.0,0.0,10.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,10.0,0,0,,,0,,1,,0.0,,n/a,new,chatgpt_online,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чат ugb,0.0,0.0,,,0.0,1.0,0.0,9.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,9.0,0,0,,,0,,1,,0.0,,n/a,new,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чат upt,0.0,0.0,,,0.0,3.0,0.0,5.0,0.0,,-3.0,-100.0,0.0,,n/a,lost,0,3,0.0,5.0,0,0,,,0,,3,,0.0,,n/a,new,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чат гпт онлайн,0.0,0.0,,,0.0,1.0,0.0,64.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,64.0,0,0,,,0,,1,,0.0,,n/a,new,chatgpt_online,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чат ж пити,0.0,0.0,,,0.0,2.0,0.0,8.5,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,8.5,0,0,,,0,,2,,0.0,,n/a,new,other,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чат жпп,0.0,0.0,,,0.0,2.0,0.0,4.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,4.0,0,0,,,0,,2,,0.0,,n/a,new,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чат жпс,0.0,0.0,,,0.0,2.0,0.0,6.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,6.0,0,0,,,0,,2,,0.0,,n/a,new,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чат нбт,0.0,0.0,,,0.0,1.0,0.0,6.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,6.0,0,0,,,0,,1,,0.0,,n/a,new,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чат озе,0.0,0.0,,,0.0,2.0,0.0,6.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,6.0,0,0,,,0,,2,,0.0,,n/a,new,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чат опт,0.0,0.0,,,0.0,4.0,0.0,5.75,0.0,,-4.0,-100.0,0.0,,n/a,lost,0,4,0.0,5.75,0,17,0.0,6.12,0,,-13,-76.5,0.0,-0.37,stable,both,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чат чп,0.0,0.0,,,0.0,1.0,0.0,9.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,9.0,0,0,,,0,,1,,0.0,,n/a,new,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чати пити онлайн,0.0,0.0,,,0.0,2.0,0.0,7.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,7.0,0,0,,,0,,2,,0.0,,n/a,new,other,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чачи пити сайт,0.0,0.0,,,0.0,2.0,0.0,10.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,10.0,0,0,,,0,,2,,0.0,,n/a,new,chatgpt_online,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чжбт,0.0,0.0,,,0.0,1.0,0.0,8.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,8.0,0,0,,,0,,1,,0.0,,n/a,new,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
сео продвижение это,0.0,0.0,,,0.0,12.0,0.0,64.42,0.0,,-12.0,-100.0,0.0,,n/a,lost,0,12,0.0,64.42,0,17,0.0,67.35,0,,-5,-29.4,0.0,-2.93,improved,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
сео продвижение что это такое,0.0,0.0,,,0.0,2.0,0.0,91.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,91.0,0,6,0.0,75.0,0,,-4,-66.7,0.0,16.0,worsened,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
сео продвижение что это,0.0,0.0,,,0.0,8.0,0.0,73.12,0.0,,-8.0,-100.0,0.0,,n/a,lost,0,8,0.0,73.12,0,15,0.0,69.4,0,,-7,-46.7,0.0,3.72,worsened,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
продвижение сайта как это делается,0.0,0.0,,,0.0,4.0,0.0,62.75,0.0,,-4.0,-100.0,0.0,,n/a,lost,0,4,0.0,62.75,0,8,0.0,60.88,0,,-4,-50.0,0.0,1.87,worsened,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
продвижение по сео,0.0,0.0,,,0.0,7.0,0.0,72.29,0.0,,-7.0,-100.0,0.0,,n/a,lost,0,7,0.0,72.29,0,11,0.0,80.27,0,,-4,-36.4,0.0,-7.98,improved,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
продвижение помощью seo,0.0,0.0,,,0.0,2.0,0.0,59.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,59.0,0,0,,,0,,2,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
продвижение сайта,0.0,0.0,,,0.0,8.0,0.0,40.88,0.0,,-8.0,-100.0,0.0,,n/a,lost,0,8,0.0,40.88,0,20,0.0,44.0,0,,-12,-60.0,0.0,-3.12,improved,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
продвижение сайта seodrum,0.0,0.0,,,0.0,6.0,0.0,44.67,0.0,,-6.0,-100.0,0.0,,n/a,lost,0,6,0.0,44.67,0,10,0.0,43.3,0,,-4,-40.0,0.0,1.37,worsened,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
продвижение сайта в интернете,0.0,0.0,,,0.0,1.0,0.0,22.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,22.0,0,0,,,0,,1,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
продвижение сайта в сети,0.0,0.0,,,0.0,1.0,0.0,31.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,31.0,0,0,,,0,,1,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
продвижение сайта заявка,0.0,0.0,,,0.0,1.0,0.0,22.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,22.0,0,1,0.0,33.0,0,,0,0.0,0.0,-11.0,improved,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
продвижение сайта ип,0.0,0.0,,,0.0,1.0,0.0,9.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,9.0,0,0,,,0,,1,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
