query,last7_clicks,last7_impressions,last7_ctr,last7_position,prev7_clicks,prev7_impressions,prev7_ctr,prev7_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change,position_direction,status,last14_clicks,last14_impressions,last14_ctr,last14_position,prev14_clicks,prev14_impressions,prev14_ctr,prev14_position,w14_clicks_change,w14_clicks_change_pct,w14_impressions_change,w14_impressions_change_pct,w14_ctr_change,w14_position_change,w14_position_direction,w14_status,topic,language,is_brand,last7_period,prev7_period
chatgpt tarjima,2.0,152.0,0.013157894736842105,6.12,1.0,123.0,0.008130081300813009,7.02,1.0,100.0,29.0,23.6,0.005,-0.9,improved,both,3,275,0.01090909090909091,6.53,0,62,0.0,6.27,3,,213,343.5,0.0109,0.26,stable,both,chatgpt_translate,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chat gpt uzb,2.0,12.0,0.16666666666666666,3.17,0.0,9.0,0.0,4.78,2.0,,3.0,33.3,0.1667,-1.61,improved,both,2,21,0.09523809523809523,3.86,0,25,0.0,4.72,2,,-4,-16.0,0.0952,-0.86,improved,both,chatgpt_online,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt oʻzbekcha,1.0,51.0,0.0196078431372549,6.47,1.0,57.0,0.017543859649122806,7.35,0.0,0.0,-6.0,-10.5,0.0021,-0.88,improved,both,2,108,0.018518518518518517,6.94,0,10,0.0,7.7,2,,98,980.0,0.0185,-0.76,improved,both,chatgpt_online,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt yozish,1.0,210.0,0.004761904761904762,8.85,0.0,33.0,0.0,9.18,1.0,,177.0,536.4,0.0048,-0.33,stable,both,1,243,0.00411522633744856,8.89,0,0,,,1,,243,,0.0041,,n/a,new,chatgpt_online,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чат гпт узб,1.0,4.0,0.25,2.75,0.0,6.0,0.0,3.17,1.0,,-2.0,-33.3,0.25,-0.42,stable,both,1,10,0.1,3.0,1,10,0.1,3.7,0,0.0,0,0.0,0.0,-0.7,improved,both,chatgpt_online,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt oʻzbek tilida,1.0,35.0,0.02857142857142857,6.09,0.0,36.0,0.0,6.67,1.0,,-1.0,-2.8,0.0286,-0.58,improved,both,1,71,0.014084507042253521,6.38,1,35,0.02857142857142857,7.69,0,0.0,36,102.9,-0.0145,-1.31,improved,both,chatgpt_online,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt bepul versiyasi,1.0,8.0,0.125,8.0,1.0,10.0,0.1,7.7,0.0,0.0,-2.0,-20.0,0.025,0.3,stable,both,2,18,0.1111111111111111,7.83,0,0,,,2,,18,,0.1111,,n/a,new,chatgpt_online,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt ilovasi,1.0,35.0,0.02857142857142857,6.57,0.0,7.0,0.0,6.0,1.0,,28.0,400.0,0.0286,0.57,worsened,both,1,42,0.023809523809523808,6.48,0,4,0.0,8.0,1,,38,950.0,0.0238,-1.52,improved,both,chatgpt_download,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt uzbek tilida online,1.0,165.0,0.006060606060606061,5.99,3.0,227.0,0.013215859030837005,5.19,-2.0,-66.7,-62.0,-27.3,-0.0072,0.8,worsened,both,4,392,0.01020408163265306,5.53,4,308,0.012987012987012988,6.37,0,0.0,84,27.3,-0.0028,-0.84,improved,both,chatgpt_online,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt uzbek tilida gaplashish,1.0,204.0,0.004901960784313725,5.79,3.0,254.0,0.011811023622047244,7.43,-2.0,-66.7,-50.0,-19.7,-0.0069,-1.64,improved,both,4,458,0.008733624454148471,6.7,2,189,0.010582010582010581,7.9,2,100.0,269,142.3,-0.0018,-1.2,improved,both,chatgpt_online,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt o'rnatish,1.0,29.0,0.034482758620689655,5.76,0.0,16.0,0.0,6.25,1.0,,13.0,81.2,0.0345,-0.49,stable,both,1,45,0.022222222222222223,5.93,0,16,0.0,8.06,1,,29,181.2,0.0222,-2.13,improved,both,chatgpt_download,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
чати пити узбекча,1.0,14.0,0.07142857142857142,5.93,0.0,16.0,0.0,7.69,1.0,,-2.0,-12.5,0.0714,-1.76,improved,both,1,30,0.03333333333333333,6.87,0,12,0.0,7.67,1,,18,150.0,0.0333,-0.8,improved,both,other,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt skachat uzbek tilida,1.0,65.0,0.015384615384615385,7.35,0.0,52.0,0.0,6.46,1.0,,13.0,25.0,0.0154,0.89,worsened,both,1,117,0.008547008547008548,6.96,1,20,0.05,7.85,0,0.0,97,485.0,-0.0415,-0.89,improved,both,chatgpt_download,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt yuklash,1.0,53.0,0.018867924528301886,7.74,0.0,54.0,0.0,6.87,1.0,,-1.0,-1.9,0.0189,0.87,worsened,both,1,107,0.009345794392523364,7.3,0,10,0.0,8.5,1,,97,970.0,0.0093,-1.2,improved,both,chatgpt_download,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
gptbot,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,100.0,-0.5,0.0,stable,both,2,3,0.6666666666666666,1.0,4,4,1.0,1.0,-2,-50.0,-1,-25.0,-0.3333,0.0,stable,both,brand,neutral,True,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt yuklash apk,1.0,25.0,0.04,7.52,1.0,30.0,0.03333333333333333,6.5,0.0,0.0,-5.0,-16.7,0.0067,1.02,worsened,both,2,55,0.03636363636363636,6.96,1,10,0.1,7.6,1,100.0,45,450.0,-0.0636,-0.64,improved,both,chatgpt_download,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chpjt,1.0,1.0,1.0,3.0,0.0,0.0,,,1.0,,1.0,,1.0,,n/a,new,1,1,1.0,3.0,0,0,,,1,,1,,1.0,,n/a,new,chatgpt_online,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgptga kirish,1.0,42.0,0.023809523809523808,3.83,0.0,22.0,0.0,3.32,1.0,,20.0,90.9,0.0238,0.51,worsened,both,1,64,0.015625,3.66,0,0,,,1,,64,,0.0156,,n/a,new,chatgpt_login,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
bepul chatgpt,1.0,12.0,0.08333333333333333,7.0,0.0,2.0,0.0,4.5,1.0,,10.0,500.0,0.0833,2.5,worsened,both,1,14,0.07142857142857142,6.64,0,0,,,1,,14,,0.0714,,n/a,new,chatgpt_online,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
chatgpt yuklash uzbek tilida,1.0,6.0,0.16666666666666666,4.33,0.0,0.0,,,1.0,,6.0,,0.1667,,n/a,new,1,6,0.16666666666666666,4.33,0,0,,,1,,6,,0.1667,,n/a,new,chatgpt_download,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
ии чат для сайта,0.0,0.0,,,0.0,1.0,0.0,82.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,82.0,0,0,,,0,,1,,0.0,,n/a,new,webdev,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
ии с которым можно поговорить,0.0,0.0,,,0.0,1.0,0.0,72.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,72.0,0,0,,,0,,1,,0.0,,n/a,new,ai_general,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
ии с которым можно общаться,0.0,0.0,,,0.0,1.0,0.0,56.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,56.0,0,0,,,0,,1,,0.0,,n/a,new,ai_general,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
автоматизация продаж в мессенджерах,0.0,0.0,,,0.0,2.0,0.0,70.5,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,70.5,0,2,0.0,73.5,0,,0,0.0,0.0,-3.0,improved,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
автоматическая обработка заявок ии,0.0,0.0,,,0.0,1.0,0.0,81.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,81.0,0,1,0.0,96.0,0,,0,0.0,0.0,-15.0,improved,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
в чем заключается продвижение сайта,0.0,0.0,,,0.0,5.0,0.0,67.0,0.0,,-5.0,-100.0,0.0,,n/a,lost,0,5,0.0,67.0,0,3,0.0,82.33,0,,2,66.7,0.0,-15.33,improved,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
арендовать сервер для бота,0.0,0.0,,,0.0,1.0,0.0,88.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,88.0,0,0,,,0,,1,,0.0,,n/a,new,chatbot_dev,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
автоматизация ответов в инстаграм ии,0.0,0.0,,,0.0,2.0,0.0,76.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,76.0,0,2,0.0,80.0,0,,0,0.0,0.0,-4.0,improved,both,instagram_bots,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
борис герасимов,0.0,0.0,,,0.0,1.0,0.0,7.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,7.0,0,1,0.0,10.0,0,,0,0.0,0.0,-3.0,improved,both,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
ии агент продавец,0.0,0.0,,,0.0,1.0,0.0,99.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,99.0,0,0,,,0,,1,,0.0,,n/a,new,chatbot_dev,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
userbox бот стоимость,0.0,0.0,,,0.0,2.0,0.0,53.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,53.0,0,0,,,0,,2,,0.0,,n/a,new,chatbot_dev,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
