query,topic,topic_group,language,intent,is_brand,is_local,position_bucket,top_page_28d,pages_ranking_28d,current_clicks,current_impressions,current_ctr,current_position,previous_clicks,previous_impressions,previous_ctr,previous_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change,position_direction,status,is_commercial_modifier,clicks_90d,impressions_90d,ctr_90d,position_90d,clicks_all,impressions_all,position_all,top_page_impressions_28d,current_period,previous_period
gptbot,brand,brand,neutral,navigational,True,False,1-3,https://gptbot.uz/,5.0,6,7,0.8571428571428571,1.0,2,2,1.0,1.5,4,200.0,5,250.0,-0.1429,-0.5,stable,both,False,10,13,0.7692307692307693,1.3846153846153846,10,17,2.7058823529411766,7.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
gpt bot,brand,brand,en,navigational,True,False,4-10,https://gptbot.uz/,2.0,0,11,0.0,3.5454545454545454,0,4,0.0,6.0,0,,7,175.0,0.0,-2.45,improved,both,False,0,15,0.0,4.2,0,15,4.2,6.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
boss digital,brand,brand,neutral,navigational,True,False,4-10,https://gptbot.uz/boss-digital/,1.0,0,1,0.0,5.0,0,0,,,0,,1,,0.0,,n/a,new,False,0,7,0.0,7.571428571428571,0,7,7.571428571428571,1.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
gptbots,brand,brand,neutral,navigational,True,False,51+,,,0,0,,,0,1,0.0,67.0,0,,-1,-100.0,0.0,,n/a,lost,False,0,1,0.0,67.0,0,1,67.0,,2026-08-18..2026-09-14,2026-07-21..2026-08-17
