month,days,clicks,impressions,position,ctr,complete_month,clicks_desktop,clicks_mobile,clicks_tablet,impressions_desktop,impressions_mobile,impressions_tablet
2026-05,11,0,39,2.67,0.0,False,0,0,0,37,2,0
2026-06,30,5,414,15.23,0.0121,True,2,3,0,325,88,1
2026-07,31,22,1260,29.81,0.0175,True,9,13,0,750,494,16
2026-08,31,301,21770,14.6,0.0138,True,96,202,3,5753,15870,147
2026-09,14,622,59365,7.48,0.0105,False,125,493,4,8368,50597,400
