query,topic,topic_group,language,intent,is_brand,is_local,position_bucket,top_page_28d,pages_ranking_28d,current_clicks,current_impressions,current_ctr,current_position,previous_clicks,previous_impressions,previous_ctr,previous_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change,position_direction,status,is_commercial_modifier,clicks_90d,impressions_90d,ctr_90d,position_90d,clicks_all,impressions_all,position_all,top_page_impressions_28d,current_period,previous_period
chatgpt yuklash,chatgpt_download,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1.0,1,117,0.0085470085470085,7.401709401709402,0,0,,,1,,117,,0.0085,,n/a,new,False,1,117,0.0085470085470085,7.401709401709402,1,117,7.401709401709402,117.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt kirish login,chatgpt_login,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,3.0,3,115,0.0260869565217391,6.2,0,0,,,3,,115,,0.0261,,n/a,new,False,3,115,0.0260869565217391,6.2,3,115,6.2,111.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt 4 uzbek tilida,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,3.0,0,112,0.0,9.116071428571429,0,0,,,0,,112,,0.0,,n/a,new,False,0,112,0.0,9.116071428571429,0,112,9.116071428571429,90.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt uzbek,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,2.0,0,102,0.0,6.598039215686274,0,0,,,0,,102,,0.0,,n/a,new,False,0,102,0.0,6.598039215686274,0,102,6.598039215686274,99.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt uzbek tilida skachat,chatgpt_download,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,3.0,0,100,0.0,7.67,0,0,,,0,,100,,0.0,,n/a,new,False,0,100,0.0,7.67,0,100,7.67,60.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt узбекча,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,1.0,0,99,0.0,6.595959595959596,0,0,,,0,,99,,0.0,,n/a,new,False,0,99,0.0,6.595959595959596,0,99,6.595959595959596,99.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
onlayn chatgpt,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,2.0,0,87,0.0,6.114942528735632,0,0,,,0,,87,,0.0,,n/a,new,False,0,87,0.0,6.114942528735632,0,87,6.114942528735632,67.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chat gpt 4 uzbekistan,chatgpt_online,chatgpt_product,en,transactional,False,True,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,2.0,1,85,0.0117647058823529,6.541176470588235,0,0,,,1,,85,,0.0118,,n/a,new,False,1,85,0.0117647058823529,6.541176470588235,1,85,6.541176470588235,55.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt скачать uzbek tilida,chatgpt_download,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2.0,1,75,0.0133333333333333,6.973333333333334,0,0,,,1,,75,,0.0133,,n/a,new,False,1,75,0.0133333333333333,6.973333333333334,1,75,6.973333333333334,68.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt yuklash apk,chatgpt_download,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1.0,3,65,0.0461538461538461,7.061538461538461,0,0,,,3,,65,,0.0462,,n/a,new,False,3,65,0.0461538461538461,7.061538461538461,3,65,7.061538461538461,65.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgptga kirish,chatgpt_login,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,1.0,1,64,0.015625,3.65625,0,0,,,1,,64,,0.0156,,n/a,new,False,1,64,0.015625,3.65625,1,64,3.65625,64.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt uzbekcha tarjimon,chatgpt_translate,chatgpt_product,uz,informational,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,1.0,1,57,0.0175438596491228,4.7368421052631575,0,0,,,1,,57,,0.0175,,n/a,new,False,1,57,0.0175438596491228,4.7368421052631575,1,57,4.7368421052631575,57.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt õzbekcha,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,3.0,0,48,0.0,7.125,0,0,,,0,,48,,0.0,,n/a,new,False,0,48,0.0,7.125,0,48,7.125,47.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt ilovasi,chatgpt_download,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1.0,1,46,0.0217391304347826,6.608695652173913,0,0,,,1,,46,,0.0217,,n/a,new,False,1,46,0.0217391304347826,6.608695652173913,1,46,6.608695652173913,46.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chaji piti online,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,1.0,0,43,0.0,5.8604651162790695,0,0,,,0,,43,,0.0,,n/a,new,False,0,43,0.0,5.8604651162790695,0,43,5.8604651162790695,43.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
