period,start,end,property_clicks,property_impressions,query_rows,query_rows_clicks,query_rows_impressions,anonymized_clicks,anonymized_impressions,anonymized_clicks_share_pct,anonymized_impressions_share_pct
last7,2026-09-08,2026-09-14,357,32210,372,245,28555,112,3655,31.4,11.3
last28,2026-08-18,2026-09-14,843,75021,984,545,64666,298,10355,35.3,13.8
prev28,2026-07-21,2026-08-17,91,6808,475,25,4329,66,2479,72.5,36.4
last90,2026-06-17,2026-09-14,948,82600,1200,572,69203,376,13397,39.7,16.2
prev90,2026-03-19,2026-06-16,2,248,17,0,39,2,209,100.0,84.3
last180,2026-03-19,2026-09-14,950,82848,1205,572,69242,378,13606,39.8,16.4
yoy28,2025-08-19,2025-09-15,0,0,0,0,0,0,0,,
all16m,2025-05-04,2026-09-14,950,82848,1205,572,69242,378,13606,39.8,16.4
