country,clicks,impressions,ctr,position
uzb,675,65086,0.010370893894232246,6.7864210429278184
rus,114,4888,0.023322422258592473,16.642389525368248
kgz,8,267,0.0299625468164794,6.359550561797753
tjk,6,261,0.022988505747126436,6.206896551724138
tkm,4,47,0.0851063829787234,6.1063829787234045
tur,4,183,0.02185792349726776,19.6448087431694
ukr,4,1155,0.003463203463203463,44.68138528138528
deu,3,190,0.015789473684210527,19.94736842105263
hkg,3,35,0.08571428571428572,6.057142857142857
nld,3,142,0.02112676056338028,10.830985915492958
blr,2,214,0.009345794392523364,10.981308411214954
kaz,2,334,0.005988023952095809,8.754491017964071
kor,2,108,0.018518518518518517,6.805555555555555
arg,1,11,0.09090909090909091,7.090909090909091
aze,1,23,0.043478260869565216,8.73913043478261
bel,1,13,0.07692307692307693,6.846153846153846
chn,1,11,0.09090909090909091,9.272727272727273
esp,1,27,0.037037037037037035,15.296296296296296
gbr,1,310,0.0032258064516129032,32.72258064516129
hrv,1,7,0.14285714285714285,6
irn,1,27,0.037037037037037035,6.37037037037037
isr,1,46,0.021739130434782608,12.608695652173912
ltu,1,16,0.0625,6.1875
pol,1,43,0.023255813953488372,12.604651162790697
twn,1,5,0.2,9.4
usa,1,472,0.00211864406779661,15.944915254237289
afg,0,3,0,2.666666666666667
alb,0,2,0,9.5
are,0,42,0,25.952380952380953
arm,0,18,0,14.277777777777779
aus,0,2,0,5.5
aut,0,7,0,7.428571428571429
bgd,0,6,0,50.666666666666664
bgr,0,15,0,21.466666666666665
bhr,0,2,0,31.5
blz,0,1,0,10
bra,0,30,0,20.733333333333334
can,0,13,0,8.692307692307693
che,0,4,0,7
chl,0,2,0,30
cmr,0,1,0,8
col,0,1,0,7
cri,0,1,0,6
cyp,0,24,0,43.5
cze,0,166,0,54.5722891566265
dnk,0,3,0,3
dom,0,1,0,8
dza,0,3,0,50
egy,0,12,0,6
est,0,31,0,35.483870967741936
fin,0,26,0,6.076923076923077
fra,0,47,0,26.06382978723404
geo,0,38,0,13.526315789473685
gin,0,1,0,3
gnb,0,2,0,4.5
grc,0,6,0,9.166666666666666
gtm,0,2,0,1.5
hun,0,4,0,9.75
idn,0,19,0,55.68421052631579
ind,0,19,0,44.526315789473685
irl,0,4,0,15.5
isl,0,1,0,7
ita,0,30,0,27.433333333333334
jam,0,3,0,7
jor,0,8,0,19.375
jpn,0,32,0,17.15625
ken,0,3,0,33
khm,0,1,0,5
kwt,0,2,0,53.5
lao,0,1,0,8
lby,0,1,0,3
lva,0,166,0,48.3855421686747
mar,0,1,0,68
mda,0,71,0,41.859154929577464
mex,0,9,0,8.222222222222221
mmr,0,1,0,7
mne,0,2,0,6.5
mng,0,2,0,6.5
mrt,0,1,0,5
mys,0,4,0,54
nor,0,8,0,6.25
npl,0,1,0,2
nzl,0,1,0,1
pak,0,3,0,60.333333333333336
pan,0,2,0,5.5
per,0,3,0,10.333333333333334
phl,0,9,0,36.22222222222222
prt,0,4,0,6.75
qat,0,3,0,8.333333333333332
rou,0,13,0,7.230769230769231
sau,0,25,0,5.84
sgp,0,2,0,9
slv,0,1,0,5
srb,0,6,0,6
svk,0,6,0,7.333333333333333
svn,0,1,0,1
swe,0,40,0,5.85
syr,0,5,0,5.2
tha,0,35,0,35.65714285714286
uga,0,1,0,8
ury,0,2,0,33
ven,0,1,0,9
vnm,0,23,0,30.73913043478261
yem,0,1,0,11
zaf,0,3,0,12.666666666666666
zzz,0,4,0,5.5
