country,clicks,impressions,ctr,position
uzb,287,29281,0.009801577814965335,6.632765274410027
rus,52,1706,0.03048065650644783,8.341148886283705
kgz,7,107,0.06542056074766354,6.08411214953271
arg,1,8,0.125,7.375
blr,1,39,0.02564102564102564,6.538461538461538
deu,1,42,0.023809523809523808,6.571428571428571
hkg,1,12,0.08333333333333333,5
irn,1,12,0.08333333333333333,6.25
isr,1,16,0.0625,5.25
kaz,1,117,0.008547008547008548,7.760683760683761
kor,1,27,0.037037037037037035,6.666666666666667
nld,1,37,0.02702702702702703,6.297297297297297
tjk,1,120,0.008333333333333333,6.066666666666666
tur,1,60,0.016666666666666666,6.433333333333334
afg,0,1,0,1
alb,0,1,0,9
are,0,5,0,6
arm,0,6,0,7.5
aus,0,1,0,6
aut,0,2,0,7
aze,0,7,0,6.714285714285714
bel,0,3,0,8
bgd,0,1,0,2
bgr,0,4,0,9.25
bhr,0,1,0,6
bra,0,14,0,11.571428571428571
can,0,5,0,7.8
che,0,1,0,2
chn,0,5,0,6.8
cze,0,17,0,32.35294117647059
egy,0,7,0,5
esp,0,8,0,6.5
est,0,4,0,4
fin,0,2,0,3
fra,0,14,0,8
gbr,0,37,0,8.891891891891891
geo,0,13,0,9.846153846153847
grc,0,1,0,5
gtm,0,1,0,1
hrv,0,2,0,6.5
hun,0,2,0,9.5
idn,0,1,0,91
ind,0,1,0,17
ita,0,7,0,7.428571428571429
jam,0,1,0,5
jpn,0,9,0,5.222222222222222
ltu,0,9,0,4.444444444444445
lva,0,19,0,29.105263157894736
mda,0,6,0,7.666666666666667
mex,0,1,0,5
mmr,0,1,0,7
mne,0,1,0,4
mng,0,1,0,8
mys,0,1,0,9
nor,0,2,0,8
npl,0,1,0,2
nzl,0,1,0,1
per,0,2,0,10
phl,0,3,0,8
pol,0,14,0,5.857142857142857
qat,0,2,0,9
rou,0,7,0,8
sau,0,14,0,5.642857142857143
sgp,0,2,0,9
svk,0,3,0,7
swe,0,13,0,6.923076923076923
syr,0,2,0,5
tha,0,1,0,1
tkm,0,21,0,6.904761904761905
twn,0,1,0,11
uga,0,1,0,8
ukr,0,163,0,34.84662576687116
usa,0,141,0,6.673758865248227
vnm,0,6,0,6.166666666666667
zzz,0,3,0,5.333333333333333
