page,device,clicks,impressions,ctr,position
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,MOBILE,269,18918,0.01421926207844381,5.7977058885717305
https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,MOBILE,78,21937,0.003555636595705885,7.187491452796645
https://gptbot.uz/uz/gpt-uzbek-tilida/,MOBILE,72,11510,0.006255430060816681,6.892528236316247
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,DESKTOP,49,1443,0.03395703395703396,7.050589050589051
https://gptbot.uz/ru/gpt-chat/,MOBILE,46,3554,0.012943162633652222,5.946539110861002
https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,DESKTOP,12,2665,0.00450281425891182,7.30656660412758
https://gptbot.uz/ru/gpt-chat/,DESKTOP,10,799,0.012515644555694618,5.72090112640801
https://gptbot.uz/,DESKTOP,5,19,0.2631578947368421,8.105263157894736
https://gptbot.uz/,MOBILE,5,18,0.2777777777777778,26.555555555555557
https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,MOBILE,5,1748,0.002860411899313501,8.526887871853546
https://gptbot.uz/uz/gpt-uzbek-tilida/,DESKTOP,5,915,0.00546448087431694,6.869945355191257
https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,MOBILE,4,22,0.18181818181818182,2.4545454545454546
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,TABLET,4,168,0.023809523809523808,5.761904761904762
https://gptbot.uz/ru/blog/chat-s-ii-gde-poobshchatsya-s-iskusstvennym-intellektom/,MOBILE,2,25,0.08,12.8
https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,MOBILE,2,106,0.018867924528301886,7.132075471698113
https://gptbot.uz/uz/gpt-uzbek-tilida/,TABLET,2,78,0.02564102564102564,6.358974358974359
https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,DESKTOP,1,12,0.08333333333333333,2.25
https://gptbot.uz/ru/blog/stoimost-i-pakety-smm-uslug-v-tashkente/,DESKTOP,1,4,0.25,15.5
https://gptbot.uz/ru/razrabotka-saytov-tashkent/,DESKTOP,1,128,0.0078125,72.296875
https://gptbot.uz/uz/,DESKTOP,1,7,0.14285714285714285,3.857142857142857
https://gptbot.uz/?lang=uz,DESKTOP,0,1,0,7
https://gptbot.uz/boss-digital/,DESKTOP,0,6,0,23.166666666666668
https://gptbot.uz/boss-digital/,MOBILE,0,9,0,62.888888888888886
https://gptbot.uz/ru/,DESKTOP,0,35,0,6.9714285714285715
https://gptbot.uz/ru/,MOBILE,0,11,0,43.72727272727273
https://gptbot.uz/ru/ai-bot-dlya-biznesa/,MOBILE,0,2,0,77
https://gptbot.uz/ru/ai-bot-dlya-dostavki-edy/,DESKTOP,0,1,0,40
https://gptbot.uz/ru/ai-bot-dlya-kliniki/,DESKTOP,0,19,0,25.789473684210527
https://gptbot.uz/ru/ai-bot-dlya-kliniki/,MOBILE,0,1,0,3
https://gptbot.uz/ru/ai-bot-dlya-magazina/,DESKTOP,0,3,0,48
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,DESKTOP,0,6,0,71.66666666666667
https://gptbot.uz/ru/ai-bot-dlya-salona-krasoty/,MOBILE,0,7,0,70.71428571428571
https://gptbot.uz/ru/ai-bot-dlya-sayta/,DESKTOP,0,1,0,97
https://gptbot.uz/ru/ai-bot-s-crm-amocrm-bitrix24/,DESKTOP,0,4,0,83
https://gptbot.uz/ru/ai-bot-s-crm-amocrm-bitrix24/,MOBILE,0,1,0,9
https://gptbot.uz/ru/ai-chat-dlya-sayta-polzovatel-zayavki/,DESKTOP,0,2,0,89.5
https://gptbot.uz/ru/ai-chat-dlya-sayta/,DESKTOP,0,11,0,66.27272727272727
https://gptbot.uz/ru/ai-menedzher-dlya-instagram/,DESKTOP,0,10,0,57.6
https://gptbot.uz/ru/ai-prodavec/,DESKTOP,0,8,0,27.375
https://gptbot.uz/ru/ai-prodavec/,MOBILE,0,3,0,32
https://gptbot.uz/ru/avtomatizatsiya-prodazh/,DESKTOP,0,39,0,44.87179487179487
https://gptbot.uz/ru/avtomatizatsiya-prodazh/,MOBILE,0,15,0,25.933333333333334
https://gptbot.uz/ru/avtomatizatsiya-zayavok/,DESKTOP,0,50,0,49.66
https://gptbot.uz/ru/avtomatizatsiya-zayavok/,MOBILE,0,1,0,11
https://gptbot.uz/ru/avtor-boris-gerasimov/,DESKTOP,0,2,0,8.5
https://gptbot.uz/ru/blog/,DESKTOP,0,26,0,83.5
