country,clicks,impressions,ctr,position
uzb,65,4423,0.014695907754917477,10.779109201899164
rus,13,998,0.013026052104208416,32.26953907815631
blr,2,54,0.037037037037037035,12.944444444444445
kaz,2,83,0.024096385542168676,17.626506024096386
tjk,2,22,0.09090909090909091,7.954545454545454
tkm,2,9,0.2222222222222222,7.666666666666667
tur,2,30,0.06666666666666667,42.2
chn,1,3,0.3333333333333333,3.6666666666666665
egy,1,10,0.1,34.9
nga,1,2,0.5,7.5
alb,0,1,0,12
are,0,13,0,48.23076923076923
arg,0,2,0,84.5
arm,0,2,0,10.5
atg,0,2,0,4.5
aus,0,4,0,72
aut,0,3,0,16
aze,0,13,0,11.307692307692308
bel,0,2,0,37.5
bgd,0,4,0,60.5
bgr,0,6,0,8.666666666666668
bol,0,2,0,42
bra,0,4,0,55
can,0,3,0,6.666666666666667
che,0,1,0,10
chl,0,1,0,68
cri,0,1,0,95
cyp,0,6,0,29.166666666666668
cze,0,67,0,69.5223880597015
deu,0,44,0,27.045454545454547
dza,0,3,0,54.666666666666664
ecu,0,2,0,91
esp,0,9,0,52.666666666666664
est,0,8,0,48.875
fin,0,3,0,6
fra,0,10,0,46
gbr,0,52,0,53.61538461538461
geo,0,9,0,22.555555555555557
grc,0,5,0,8.8
grl,0,1,0,24
hkg,0,6,0,29.5
hnd,0,1,0,87
hrv,0,1,0,5
hun,0,2,0,16.5
idn,0,17,0,53.05882352941177
ind,0,15,0,54.86666666666667
irl,0,1,0,7
irn,0,4,0,7
irq,0,1,0,8
isr,0,26,0,21.653846153846153
ita,0,4,0,17.75
jpn,0,1,0,9
kgz,0,32,0,9.125
kor,0,6,0,3.5
kwt,0,1,0,7
lka,0,1,0,11
ltu,0,3,0,50.333333333333336
lva,0,62,0,62.774193548387096
mar,0,2,0,93.5
mda,0,18,0,30.27777777777778
mex,0,1,0,6
mne,0,1,0,9
nld,0,43,0,11.744186046511627
nor,0,3,0,21
pak,0,5,0,77.8
phl,0,6,0,45.833333333333336
pol,0,18,0,33.611111111111114
prt,0,2,0,11
rou,0,3,0,49.666666666666664
sau,0,2,0,4.5
sgp,0,2,0,8
slv,0,1,0,24
srb,0,4,0,15.25
svn,0,2,0,43.5
swe,0,1,0,11
syc,0,1,0,10
syr,0,1,0,8
tha,0,6,0,56.833333333333336
ukr,0,498,0,54.136546184738954
usa,0,68,0,15.705882352941176
ven,0,1,0,56
vnm,0,11,0,61.18181818181818
yem,0,1,0,9
zzz,0,6,0,9.333333333333334
